,vintage_years,stated_annual_revenue,stated_time_in_business,requested_amount,has_linked_bank_feed,observed_monthly_revenue_avg_3mo,observed_revenue_trend_3mo,observed_revenue_volatility,observed_cash_balance_p10,observed_overdraft_count_3mo,payroll_regularity_score,aggregate_credit_utilization,recent_inquiries_count_6mo,existing_debt_obligations,days_since_last_external_decline,account_age_days,platform_active_months,bookkeeping_recency_days,invoice_payment_delinquency_rate,prior_loans_count,prior_loans_default_count,prior_loans_amount_total,multi_lender_inquiry_count_30d,days_since_last_inquiry_elsewhere,repeat_application_count,requested_amount_to_observed_revenue,prior_underwriter_score,prior_approved_amount,default_flag,days_to_default,days_to_full_repayment,final_recovered_amount
payroll_regularity_score,0.3871192120499205,0.3641125076848179,0.37261100021842336,0.03538463512472128,,0.4536551636338382,-0.0023291524054687685,0.0009193223895381661,0.5656358791581287,-0.1697397083342468,1.0,-0.46224027842402987,-0.1298504460411022,-0.23649913213214047,0.12269060903469244,0.3398515081155319,0.6823707703823852,-0.3460081976317944,-0.5130047407069318,0.05384287801430592,-0.02248491563675385,0.12094209549312945,-0.07551532279499645,0.13177459866313332,0.004219670148933693,-0.5343582351346536,0.20805694589275425,0.08835683951288198,-0.20024484523690586,0.2153268902110946,,-0.0006596668294442606
aggregate_credit_utilization,-0.30736420238045087,-0.1680453787782113,-0.2784812999797096,0.43795766290100163,-0.1716842595672954,-0.3199401541344596,-0.028893403144328186,0.20402163880591898,-0.6961743937141834,0.27412062328587705,-0.46224027842402987,1.0,0.24356779576833654,0.6136878031849404,-0.25125973503509935,-0.2661194445593573,-0.26408026171588217,0.34173113290381407,0.726209352268816,-0.100529148117343,0.028969968325808608,-0.20912273047653449,0.15402308510707954,-0.25372507239483705,-0.003804346276939085,0.5512570102495913,-0.38306089713759184,0.37706934333463415,0.3211768173493412,-0.29830804406798184,,0.15352072857791732
recent_inquiries_count_6mo,-0.11033415022671077,-0.03383294757632225,-0.10332515150197807,0.08629939438848808,-0.04304055167829465,-0.07106054710663616,-0.003122868749337687,0.02685594127048261,-0.17267136794791174,0.06112103763012808,-0.1298504460411022,0.24356779576833654,1.0,0.10866397265357623,-0.08428064997137155,-0.09535190180993364,-0.06652426277666146,0.12707928466855947,0.1682720946722223,-0.036192002454345194,0.004183123817072382,-0.07702500666185898,0.06160763891741664,-0.08038009236113967,0.0007435260379967998,0.10959255168741132,-0.10562578168409545,0.06502720631097399,0.06833003594425012,-0.063770040794669,,0.010004997434550026
existing_debt_obligations,-0.08272532196788564,-0.34852062967021713,-0.07277447037070049,-0.05927519798922204,-0.04993531585026225,-0.3968477133925112,0.14852383646963865,-0.03145225960658652,-0.18493362078811465,0.09067711490639638,-0.23649913213214047,0.6136878031849404,0.10866397265357623,1.0,-0.10305326642750322,-0.07136887245725917,-0.21823815051907744,0.05826053391227908,0.22067278503905038,-0.04621858230743301,0.002785593986175562,-0.09505447601313055,0.06450990296578023,-0.10058471539750531,-0.009721289363575877,0.5249786115976213,-0.11092420557207518,-0.0797372572472892,0.14574676315769136,-0.12461242902037967,,0.0398131478835617
days_since_last_external_decline,0.09136802418632106,0.01770489425058062,0.08232533619128497,-0.12489553666770964,0.052694931661988395,0.06438186177229395,0.022885844389493842,-0.0503898557017868,0.19272201016089466,-0.07117634645670652,0.12269060903469244,-0.25125973503509935,-0.08428064997137155,-0.10305326642750322,1.0,0.07641372783653061,0.06232592976429138,-0.10954613835468403,-0.19273461698209823,0.029961308626762106,-0.014318254260014516,0.06497224219232449,-0.07373758535331137,0.13742572928901686,0.0006844072335376594,-0.11018605833056548,0.11047596008047583,-0.09743113249949993,-0.06878532268766359,0.08411055690283611,,-0.03895806663854922
account_age_days,0.872682500915603,0.07991610589942226,0.8685640373023844,-0.05527002282711402,0.09371151216649783,0.14176458683866006,-0.001430027018712546,0.004057007808974307,0.30952261963965744,-0.08534449503708934,0.3398515081155319,-0.2661194445593573,-0.09535190180993364,-0.07136887245725917,0.07641372783653061,1.0,0.200365981165314,-0.31862581435217785,-0.2508535949237016,0.05211344219468296,-0.00862136620406609,0.1151312815707888,-0.05165085874916674,0.09330161317852949,-0.0008630918207553315,-0.15961474111753238,0.17071601616935872,-0.018943705479913364,-0.0810695696995527,0.10135603738881742,,0.005068063660390857
platform_active_months,0.23062523768096604,0.36781630028812196,0.22407788251598232,0.16376675262620735,0.05236581055568228,0.4184374481675433,0.0071614714926182795,0.0006758321179015422,0.18690845775212342,-0.06072647961362891,0.6823707703823852,-0.26408026171588217,-0.06652426277666146,-0.21823815051907744,0.06232592976429138,0.200365981165314,1.0,-0.16111797578282974,-0.17332171214853356,0.029268003774243562,-0.008113732658880136,0.06735261460223421,-0.037409336396427316,0.060761142733812744,0.0037689567615720046,-0.39817098274620694,0.09136009623154438,0.19550484965524578,-0.09900640246700955,0.1131161562875047,,-0.0005419369980562067
bookkeeping_recency_days,-0.36943831055226617,-0.0400569143413527,-0.3529827477478405,0.1183764093055666,-0.13056463813601785,-0.111626322057748,0.0035723356792251863,-0.0065937241888450685,-0.39261866331688183,0.11292927044268551,-0.3460081976317944,0.34173113290381407,0.12707928466855947,0.05826053391227908,-0.10954613835468403,-0.31862581435217785,-0.16111797578282974,1.0,0.38674889442247445,-0.06441689729329661,0.015650829375162083,-0.1279294197438474,0.0646286933936944,-0.11473260717244727,0.0006078436148335456,0.1528368518829348,-0.22539587603553612,0.06627480030952848,0.11097321346683887,-0.0929920292441254,,-0.04251544937072532
invoice_payment_delinquency_rate,-0.29105741712230726,0.03782725457251324,-0.2587127587384901,0.6247227283649935,-0.18338531109323264,-0.11617948443034348,-0.10772798436581175,0.2381926922214465,-0.926117781406967,0.3260490704341279,-0.5130047407069318,0.726209352268816,0.1682720946722223,0.22067278503905038,-0.19273461698209823,-0.2508535949237016,-0.17332171214853356,0.38674889442247445,1.0,-0.0533452935536179,0.046521272915214566,-0.11121286678511433,0.12279269452578251,-0.1970310372867191,0.0005777123726837702,0.38298718355254063,-0.3670350675278726,0.5713207944754172,0.3719236398088055,-0.2974952210574378,,0.1715897915578386
prior_loans_count,0.05875390936627109,0.024047707094778308,0.056448107583904374,-0.009787651568594602,0.013705950615999588,0.0344762768791323,-0.002670310288434869,0.00251808315066494,0.056622126240299483,-0.022902535284169204,0.05384287801430592,-0.100529148117343,-0.036192002454345194,-0.04621858230743301,0.029961308626762106,0.05211344219468296,0.029268003774243562,-0.06441689729329661,-0.0533452935536179,1.0,0.27520243148149265,0.9412347121221344,-0.015339245953664397,0.02370773327895448,0.0012811059917973975,-0.04104983639174832,0.047490699469137344,0.0017720406946899,-0.023618076784012128,0.008514965523176668,,0.011168047978310024
prior_loans_default_count,-0.012258388006982463,0.00393930740390391,-0.010251323194038807,0.04264205447879689,-0.013775230491975411,-0.0032121640105393003,-0.010105627603358178,0.020094402249929873,-0.051427906317603654,0.015004188384877354,-0.02248491563675385,0.028969968325808608,0.004183123817072382,0.002785593986175562,-0.014318254260014516,-0.00862136620406609,-0.008113732658880136,0.015650829375162083,0.046521272915214566,0.27520243148149265,1.0,0.23340405193269395,0.006055472430405921,-0.0013478692062308822,-0.0026343344755424733,0.01917909965774622,-0.019262850690607097,0.03938398846311142,0.010005815144443044,-0.006152008650792126,,-0.0016782624433126154
prior_loans_amount_total,0.131184236543546,0.0522649288666789,0.12653391690928759,-0.021465988746874838,0.03354692712081799,0.07956827179032974,-0.013927148988426098,0.0038389414335084347,0.12602913399486707,-0.044678826714984424,0.12094209549312945,-0.20912273047653449,-0.07702500666185898,-0.09505447601313055,0.06497224219232449,0.1151312815707888,0.06735261460223421,-0.1279294197438474,-0.11121286678511433,0.9412347121221344,0.23340405193269395,1.0,-0.035011763094911295,0.05906693729043655,0.0033707883973665147,-0.0886249082914318,0.09469382954312412,0.00014986436633322893,-0.044460478432081264,0.03401107962998949,,0.01948880019590786
multi_lender_inquiry_count_30d,-0.061938619755894764,-0.01123174477736273,-0.0570254140152095,0.08096833832912992,-0.03568490298647981,-0.03917347536124407,-0.009146109648074099,0.03677716403265353,-0.12152979326512597,0.04855272995249175,-0.07551532279499645,0.15402308510707954,0.06160763891741664,0.06450990296578023,-0.07373758535331137,-0.05165085874916674,-0.037409336396427316,0.0646286933936944,0.12279269452578251,-0.015339245953664397,0.006055472430405921,-0.035011763094911295,1.0,-0.06981209591906268,-0.001026357112455248,0.07301803906182028,-0.07171664561425253,0.07251749078276606,0.04273166616485924,-0.047545944512773004,,0.026741401975163327
days_since_last_inquiry_elsewhere,0.10468227899785898,0.016350263973435922,0.09600967224818681,-0.133937961035396,0.05185648196778013,0.06623904458532597,0.03044642976916369,-0.05810311326981919,0.20677379852531613,-0.06930071456391987,0.13177459866313332,-0.25372507239483705,-0.08038009236113967,-0.10058471539750531,0.13742572928901686,0.09330161317852949,0.060761142733812744,-0.11473260717244727,-0.1970310372867191,0.02370773327895448,-0.0013478692062308822,0.05906693729043655,-0.06981209591906268,1.0,0.011318645087880991,-0.11139362188215966,0.10895269709549127,-0.11644679505587054,-0.08288477999066264,0.08016787325257058,,-0.044825920500638126
repeat_application_count,3.6364046805686573e-06,0.022219118611833618,0.00027783149007483345,0.018451824531318904,-0.0012569633951078638,0.020605326490911832,-0.0363833211584245,0.007165070038550103,0.003747672222570377,-0.0018919563532585405,0.004219670148933693,-0.003804346276939085,0.0007435260379967998,-0.009721289363575877,0.0006844072335376594,-0.0008630918207553315,0.0037689567615720046,0.0006078436148335456,0.0005777123726837702,0.0012811059917973975,-0.0026343344755424733,0.0033707883973665147,-0.001026357112455248,0.011318645087880991,1.0,-0.019499970401399586,-0.008183254152080101,0.01392004312294499,0.006609019506870834,0.0005934453620947206,,0.005366369504293638
requested_amount_to_observed_revenue,-0.18495613211382067,-0.6202467194614211,-0.1721407169203827,-0.20104118438025698,-0.0561721501607064,-0.6772499259172885,0.1697248541699775,0.107966254532952,-0.43291419013010335,0.17080316666209144,-0.5343582351346536,0.5512570102495913,0.10959255168741132,0.5249786115976213,-0.11018605833056548,-0.15961474111753238,-0.39817098274620694,0.1528368518829348,0.38298718355254063,-0.04104983639174832,0.01917909965774622,-0.0886249082914318,0.07301803906182028,-0.11139362188215966,-0.019499970401399586,1.0,-0.16238811544347348,-0.2167602080211761,0.24859125509604563,-0.20206817631984436,,0.015467926073996026
prior_underwriter_score,0.19402122344165088,-0.02938009107929494,0.17943090935033446,-0.28306886140116094,0.08679638448626047,0.04753767524879466,0.12552224293038744,-0.1804892240932136,0.3583536106018198,-0.13601266196034736,0.20805694589275425,-0.38306089713759184,-0.10562578168409545,-0.11092420557207518,0.11047596008047583,0.17071601616935872,0.09136009623154438,-0.22539587603553612,-0.3670350675278726,0.047490699469137344,-0.019262850690607097,0.09469382954312412,-0.07171664561425253,0.10895269709549127,-0.008183254152080101,-0.16238811544347348,1.0,-0.06972774316673544,-0.1042251017976804,0.0865487910944102,,-0.03908039217197476
prior_approved_amount,-0.02212689530119948,0.6282193378346802,-0.0037460090483130678,0.9782628412127033,-0.10617818605526745,0.5307762478096865,-0.33604235973031765,0.3460745047702872,-0.5166755730545591,0.21359419093084703,0.08835683951288198,0.37706934333463415,0.06502720631097399,-0.0797372572472892,-0.09743113249949993,-0.018943705479913364,0.19550484965524578,0.06627480030952848,0.5713207944754172,0.0017720406946899,0.03938398846311142,0.00014986436633322893,0.07251749078276606,-0.11644679505587054,0.01392004312294499,-0.2167602080211761,-0.06972774316673544,1.0,0.18954838564164292,-0.15706015634622175,,0.2878288557379028
default_flag,-0.09474832403411632,-0.04562386698905953,-0.08375368676869757,0.20174516563313263,-0.02995166148284338,-0.09645124902632053,-0.09557184638696252,0.21027678853777024,-0.327841414756824,0.17886531396177993,-0.20024484523690586,0.3211768173493412,0.06833003594425012,0.14574676315769136,-0.06878532268766359,-0.0810695696995527,-0.09900640246700955,0.11097321346683887,0.3719236398088055,-0.023618076784012128,0.010005815144443044,-0.044460478432081264,0.04273166616485924,-0.08288477999066264,0.006609019506870834,0.24859125509604563,-0.1042251017976804,0.18954838564164292,1.0,,,
days_to_default,0.1054514804143035,0.05423948872047418,0.09522292021908185,-0.1678773064685084,-0.0008873965199874215,0.11526079375271646,0.0929442521577922,-0.17504572760218007,0.3449165972610725,-0.16016959366216446,0.2153268902110946,-0.29830804406798184,-0.063770040794669,-0.12461242902037967,0.08411055690283611,0.10135603738881742,0.1131161562875047,-0.0929920292441254,-0.2974952210574378,0.008514965523176668,-0.006152008650792126,0.03401107962998949,-0.047545944512773004,0.08016787325257058,0.0005934453620947206,-0.20206817631984436,0.0865487910944102,-0.15706015634622175,,1.0,,-0.7389999998070989
days_to_full_repayment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_recovered_amount,0.019807571424101608,0.12184930481451732,0.024758594401255177,0.29802080449797397,0.012102895176784418,0.07623671945923793,-0.15438058062445892,0.2279675081817619,-0.17394569143106775,0.11657671664566689,-0.0006596668294442606,0.15352072857791732,0.010004997434550026,0.0398131478835617,-0.03895806663854922,0.005068063660390857,-0.0005419369980562067,-0.04251544937072532,0.1715897915578386,0.011168047978310024,-0.0016782624433126154,0.01948880019590786,0.026741401975163327,-0.044825920500638126,0.005366369504293638,0.015467926073996026,-0.03908039217197476,0.2878288557379028,,-0.7389999998070989,,1.0
